Ranking,Seed,Name,Weight
1,1,Gonzaga,37.94
2,17,Michigan,32.12
3,33,Illinois,32
4,49,Baylor,30.78
5,2,Iowa,30.24
6,18,Houston,29.13
7,34,Ohio St.,26.71
8,50,Alabama,26.45
9,3,Loyola Chicago,25.08
10,19,Virginia,23.99
11,35,Wisconsin,23.99
12,51,Florida St.,23.97
13,4,Villanova,23.96
14,20,Purdue,23.6
15,36,USC,23.58
16,52,Colorado,23.53
17,5,Connecticut,23.25
18,21,Arkansas,22.8
19,37,Creighton,22.65
20,53,San Diego St. ,22.57
21,6,Tennessee,22.44
22,22,Kansas,22.33
23,38,BYU,22.22
24,54,Texas Tech,22.14
25,7,Texas,21.87
26,23,West Virginia,21.62
27,39,North Carolina,21.48
28,55,St. Bonaventure,21.27
29,8,LSU,20.78
30,24,Maryland,20.05
31,40,Oklahoma St.,20.04
32,56,Duke,19.5
33,9,Rutgers,19.48
34,25,Penn St.,19.46
35,41,Georgia Tech,19.41
36,57,Oregon,18.94
37,10,Florida,18.91
38,26,Memphis,17.99
39,42,Oklahoma,17.95
40,58,Utah St.,17.78
41,11,Syracuse,17.56
42,27,Clemson,17.51
43,43,VCU,17.5
44,59,UCLA,17.21
45,12,Arizona,17.21
46,28,Indiana,17.16
47,44,St. Louis,16.75
48,60,Mississippi,16.66
49,13,Kentucky,16.55
50,29,Virginia Tech,16.54
51,45,Missouri,16.48
52,61,Seton Hall,16.17
53,14,Drake,15.98
54,30,Louisville,15.49
55,46,Georgetown,15.4
56,62,Michigan St.,15.35
57,15,Minnesota,15.28
58,31,Davidson,15.22
59,47,SMU,15.18
60,63,Boise St.,14.78
61,16,Xavier,14.68
62,32,Toledo,14.52
63,48,Auburn,14.31
64,64,Colorado St.,14.29
